temperatura_sensor,humedad_ambiente,tiempo_desde_calibracion,nivel_gas_metano,fecha,hora,nivel_bateria,ciclo_bateria,gas_crudo,,,,
23.4,58.03,0,2047,4/28/2025,17:00:50,99.76,1,4094,,,,
23.5,58.11,0,2018,4/28/2025,17:01:02,99.68,1,4036,,,,
23.65,58,0.01,2047.5,4/28/2025,17:01:13,99.6,1,4095,,,,
23.93,57.67,0.01,2047.5,4/28/2025,17:01:31,99.47,1,4095,,,,
24.16,57.27,0.02,1991,4/28/2025,17:01:45,99.37,1,3982,,,,
24.33,56.93,0.02,2027.5,4/28/2025,17:01:57,99.29,1,4055,,,,
24.53,56.53,0.02,2043,4/28/2025,17:02:09,99.2,1,4086,,,,
24.71,56.23,0.02,2044.5,4/28/2025,17:02:20,99.12,1,4089,,,,
24.91,55.78,0.03,2013.5,4/28/2025,17:02:32,99.04,1,4027,,,,
25.07,55.4,0.03,1999.5,4/28/2025,17:02:44,98.95,1,3999,,,,
25.25,55.09,0.03,1975.5,4/28/2025,17:02:55,98.87,1,3951,,,,
25.45,54.67,0.04,1978,4/28/2025,17:03:08,98.78,1,3956,,,,
25.61,54.42,0.04,1992,4/28/2025,17:03:20,98.7,1,3984,,,,
25.81,53.98,0.05,2024.5,4/28/2025,17:03:34,98.6,1,4049,,,,
25.96,53.74,0.05,2027.5,4/28/2025,17:03:45,98.52,1,4055,,,,
26.12,53.45,0.05,2029.5,4/28/2025,17:03:57,98.43,1,4059,,,,
26.22,53.17,0.06,2022.5,4/28/2025,17:04:09,98.35,1,4045,,,,
26.54,52.55,0.06,2038,4/28/2025,17:04:36,98.16,1,4076,,,,
26.76,52.14,0.07,2047.5,4/28/2025,17:04:57,100,1,4095,,,,
26.89,51.82,0.07,2047.5,4/28/2025,17:05:10,99.91,1,4095,,,,
27,51.62,0.08,2047.5,4/28/2025,17:05:22,99.82,1,4095,,,,
27.09,51.47,0.08,2047.5,4/28/2025,17:05:34,99.74,1,4095,,,,
27.2,51.28,0.08,2047.5,4/28/2025,17:05:46,99.65,1,4095,,,,
27.31,51.12,0.09,2047.5,4/28/2025,17:05:57,99.57,1,4095,,,,
27.41,50.91,0.09,2047.5,4/28/2025,17:06:09,99.49,1,4095,,,,
27.5,50.78,0.09,2047.5,4/28/2025,17:06:21,99.4,1,4095,,,,
27.62,50.54,0.1,2047.5,4/28/2025,17:06:37,99.29,1,4095,,,,
27.73,50.32,0.1,2047.5,4/28/2025,17:06:52,99.18,1,4095,,,,
27.81,50.17,0.1,2047.5,4/28/2025,17:07:04,99.1,1,4095,,,,
27.92,49.98,0.11,2047.5,4/28/2025,17:07:19,98.99,1,4095,,,,
27.99,49.86,0.11,2047.5,4/28/2025,17:07:31,98.9,1,4095,,,,
28.06,49.76,0.11,2047.5,4/28/2025,17:07:43,98.82,1,4095,,,,
28.13,49.64,0.12,2047.5,4/28/2025,17:07:55,98.73,1,4095,,,,
28.19,49.51,0.12,2047.5,4/28/2025,17:08:06,98.65,1,4095,,,,
28.26,49.39,0.12,2047.5,4/28/2025,17:08:18,98.57,1,4095,,,,
28.36,49.27,0.13,2047.5,4/28/2025,17:08:34,98.45,1,4095,,,,
